Year,Time series,Tourism Industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,Employed persons,Water passenger transport,.,,,
2018,Employed persons,Water passenger transport,.,,,
2019,Employed persons,Water passenger transport,.,,,
2020,Employed persons,Water passenger transport,,,,8614.0
2021,Employed persons,Water passenger transport,,,,8756.0
2022,Employed persons,Water passenger transport,,,,9206.0
2023,Employed persons,Water passenger transport,,,,8967.0
2010,Employed persons,Air passenger transport,.,,,
2011,Employed persons,Air passenger transport,.,,,
2012,Employed persons,Air passenger transport,.,,,
2013,Employed persons,Air passenger transport,.,,,
2014,Employed persons,Air passenger transport,.,,,
2015,Employed persons,Air passenger transport,.,,,
2016,Employed persons,Air passenger transport,.,,,
2017,Employed persons,Air passenger transport,.,,,
2018,Employed persons,Air passenger transport,.,,,
2019,Employed persons,Air passenger transport,.,,,
2020,Employed persons,Air passenger transport,,,,58297.0
2021,Employed persons,Air passenger transport,,,,54734.0
2022,Employed persons,Air passenger transport,,,,52686.0
2023,Employed persons,Air passenger transport,,,,57060.0
2010,Employed persons,Transport equipment rental,.,,,
2011,Employed persons,Transport equipment rental,.,,,
2012,Employed persons,Transport equipment rental,.,,,
2013,Employed persons,Transport equipment rental,.,,,
2014,Employed persons,Transport equipment rental,.,,,
2015,Employed persons,Transport equipment rental,.,,,
2016,Employed persons,Transport equipment rental,.,,,
2017,Employed persons,Transport equipment rental,.,,,
2018,Employed persons,Transport equipment rental,.,,,
2019,Employed persons,Transport equipment rental,.,,,
2020,Employed persons,Transport equipment rental,,,,34896.0
2021,Employed persons,Transport equipment rental,,,,41038.0
2022,Employed persons,Transport equipment rental,,,,45861.0
2023,Employed persons,Transport equipment rental,,,,43418.0
2010,Employed persons,Travel agencies and other reservation service activities,.,,,
2011,Employed persons,Travel agencies and other reservation service activities,.,,,
2012,Employed persons,Travel agencies and other reservation service activities,.,,,
2013,Employed persons,Travel agencies and other reservation service activities,.,,,
2014,Employed persons,Travel agencies and other reservation service activities,.,,,
2015,Employed persons,Travel agencies and other reservation service activities,.,,,
2016,Employed persons,Travel agencies and other reservation service activities,.,,,
2017,Employed persons,Travel agencies and other reservation service activities,.,,,
2018,Employed persons,Travel agencies and other reservation service activities,.,,,
2019,Employed persons,Travel agencies and other reservation service activities,.,,,
2020,Employed persons,Travel agencies and other reservation service activities,,,,81779.0
2021,Employed persons,Travel agencies and other reservation service activities,,,,79189.0
2022,Employed persons,Travel agencies and other reservation service activities,,,,88512.0
