Year,Units,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2020,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2021,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2022,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2023,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2024,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,55 bis unter 65 Jahre,,,,,
2010,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2011,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2012,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2013,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2014,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2015,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2016,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2017,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2018,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2019,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2020,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2021,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2022,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2023,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2024,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,65 Jahre und älter,,,,,
2010,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2011,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2012,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2013,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2014,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2015,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2016,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2017,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2018,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2019,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2020,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2021,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2022,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2023,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2024,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Weiblich,,,,
2010,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2011,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2012,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2013,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2014,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2015,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2016,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2017,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2018,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2019,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2020,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2021,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2022,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2023,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2024,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,Männlich,,,,
2010,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2011,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2012,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2013,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2014,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2015,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2016,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2017,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2018,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2019,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2020,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2021,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2022,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2023,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2024,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2010,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2011,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2012,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2013,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2014,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2015,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2016,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2017,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2018,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2019,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2020,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2021,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2022,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2023,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2024,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2010,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2011,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2012,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2013,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2014,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2015,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2016,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2017,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2018,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2019,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2020,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2021,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2022,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2023,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2024,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,15 bis unter 25 Jahre,,,,,
2010,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2011,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2012,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2013,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2014,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2015,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2016,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2017,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2018,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2019,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2020,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2021,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2022,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2023,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2024,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,25 bis unter 35 Jahre,,,,,
2010,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2011,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2012,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2013,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2014,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2015,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2016,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2017,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2018,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2019,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2020,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2021,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2022,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2023,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2024,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,35 bis unter 45 Jahre,,,,,
2010,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2011,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2012,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2013,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2014,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2015,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2016,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2017,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2018,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2019,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2020,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2021,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2022,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
2023,Anzahl,Sterblichkeit infolge von Straßenverkehrsunfällen,45 bis unter 55 Jahre,,,,,
