Year,Units,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,Anzahl,Opfer sexueller Belästigung,,Weiblich,,,,3.373
2022,Anzahl,Opfer sexueller Belästigung,,Weiblich,r,,,12.432
2023,Anzahl,Opfer sexueller Belästigung,,Weiblich,r,,,4.61
2024,Anzahl,Opfer sexueller Belästigung,,Weiblich,…,,,
2010,Anzahl,Opfer sexueller Belästigung,,Männlich,,,,
2011,Anzahl,Opfer sexueller Belästigung,,Männlich,,,,98.632
2012,Anzahl,Opfer sexueller Belästigung,,Männlich,,,,99.299
2013,Anzahl,Opfer sexueller Belästigung,,Männlich,,,,99.777
2014,Anzahl,Opfer sexueller Belästigung,,Männlich,,,,100.091
2015,Anzahl,Opfer sexueller Belästigung,,Männlich,,,,100.0
2016,Anzahl,Opfer sexueller Belästigung,,Männlich,|,,,99.84
2017,Anzahl,Opfer sexueller Belästigung,,Männlich,,,,99.685
2018,Anzahl,Opfer sexueller Belästigung,,Männlich,,,,99.601
2019,Anzahl,Opfer sexueller Belästigung,,Männlich,,,,99.764
2020,Anzahl,Opfer sexueller Belästigung,,Männlich,,,,100.046
2021,Anzahl,Opfer sexueller Belästigung,,Männlich,,,,100.363
2022,Anzahl,Opfer sexueller Belästigung,,Männlich,r,,,100.706
2023,Anzahl,Opfer sexueller Belästigung,,Männlich,r,,,101.021
2024,Anzahl,Opfer sexueller Belästigung,,Männlich,…,,,
2010,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,
2011,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,
2012,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,0.647
2013,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,0.614
2014,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,0.619
2015,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,0.482
2016,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,|,,,0.455
2017,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,0.464
2018,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,0.469
2019,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,0.464
2020,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,0.474
2021,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,0.452
2022,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,0.372
2023,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,,,,0.4
2024,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,,…,,,
2010,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,.,,,
2011,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,.,,,
2012,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,-0.03
2013,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,0.131
2014,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,0.303
2015,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,0.57
2016,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,|,,,0.615
2017,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,0.621
2018,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,0.556
2019,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,0.3
2020,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,0.191
2021,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,0.134
2022,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,0.03
2023,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,0.087
2024,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,0.127
2010,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2011,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2012,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2013,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2014,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2015,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2016,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2017,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2018,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2019,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2020,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2021,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2022,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2023,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2024,Anzahl,Opfer sexueller Belästigung,13 Jahre und jünger,Männlich,,,,100.0
2010,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,,,,1.084
2011,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,,,,1.206
2012,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,,,,1.231
2013,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,,,,1.283
2014,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,,,,1.408
2015,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,,,,1.439
2016,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,,,,1.491
2017,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,,,,1.604
2018,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,,,,1.602
2019,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,,,,1.736
2020,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,,,,1.715
2021,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,p,,,1.843
2022,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,p,,,1.955
2023,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,p,,,2.376
2024,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,,p,,,2.517
2010,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,9.804
2011,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,10.427
2012,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,10.417
2013,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,10.838
2014,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,11.458
2015,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,11.58
2016,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,11.82
2017,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,12.407
2018,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,12.791
2019,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,13.688
2020,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,14.137
2021,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,p,,,13.788
2022,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,p,,,14.51
2023,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,p,,,16.023
2024,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,p,,,17.595
2010,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2011,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2012,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2013,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2014,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2015,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2016,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2017,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2018,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2019,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2020,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2021,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2022,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2023,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,s,,,100.0
2024,Anzahl,Opfer sexueller Belästigung,14 bis unter 18 Jahre,Männlich,…,,,
2010,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,49237.0
2011,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,50237.0
2012,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,49759.0
2013,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,49570.0
2014,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,51102.0
2015,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,51625.0
2016,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,52133.0
2017,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,51790.0
2018,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,50260.0
2019,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,50643.0
2020,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,50993.0
2021,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,51793.0
2022,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,48559.0
2023,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,,,,48860.0
2024,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,,…,,,
2010,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,19.5
2011,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,19.4
2012,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,16.8
2013,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,17.5
2014,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,17.0
2015,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,15.8
2016,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,15.3
2017,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,14.4
2018,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,15.4
2019,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,13.2
2020,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,12.3
2021,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,13.0
2022,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,…,,,
2023,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,…,,,
2024,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,…,,,
2010,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,15.9
2011,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,15.2
2012,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,12.4
2013,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,13.2
2014,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,13.0
2015,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,11.7
2016,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,11.4
2017,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,10.9
2018,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,11.2
2019,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,9.4
2020,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,8.8
2021,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,9.3
2022,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,…,,,
2023,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,…,,,
2024,Anzahl,Opfer sexueller Belästigung,18 bis unter 21 Jahre,Männlich,…,,,
2010,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,81.7
2011,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,80.3
2012,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,80.5
2013,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,80.8
2014,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,81.2
2015,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,82.2
2016,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,82.5
2017,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,82.8
2018,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,83.0
2019,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,83.2
2020,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,83.1
2021,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,,,,83.2
2022,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,…,,,
2023,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,…,,,
2024,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,,…,,,
2010,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,74.0
2011,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,71.0
2012,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,56.5
2013,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,64.1
2014,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,59.2
2015,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,50.6
2016,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,45.0
2017,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,30.9
2018,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,46.3
2019,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,17.6
2020,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,9.9
2021,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,16.9
2022,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,…,,,
2023,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,…,,,
2024,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,…,,,
2010,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2011,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2012,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2013,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2014,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2015,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,29.53
2016,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2017,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2018,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,29.61
2019,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2020,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2021,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,29.24
2022,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2023,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2024,Anzahl,Opfer sexueller Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2010,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,,,,28870.0
2011,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,,,,26876.0
2012,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,,,,26360.0
2013,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,,,,25517.0
2014,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,,,,23303.0
2015,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,,,,21070.0
2016,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,,,,19949.0
2017,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,r,,,19750.0
2018,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,r,,,20280.0
2019,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,r,,,20204.0
2020,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,r,,,20997.0
2021,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,r,,,22091.0
2022,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,r,,,23082.0
2023,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,r,,,25138.0
2024,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,,,,,26703.0
2010,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,,,,22909.0
2011,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,,,,21414.0
2012,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,,,,21217.0
2013,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,,,,20455.0
2014,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,,,,18682.0
2015,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,,,,16941.0
2016,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,,,,16115.0
2017,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,15999.0
2018,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,16456.0
2019,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,16432.0
2020,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,16974.0
2021,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,17693.0
2022,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,18628.0
2023,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,20089.0
2024,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Weiblich,,,,21382.0
2010,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,,,,5961.0
2011,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,,,,5462.0
2012,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,,,,5143.0
2013,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,,,,5062.0
2014,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,,,,4621.0
2015,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,,,,4129.0
2016,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,,,,3834.0
2017,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,r,,,3751.0
2018,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,r,,,3824.0
2019,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,r,,,3772.0
2020,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,r,,,4023.0
2021,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,r,,,4398.0
2022,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,r,,,4454.0
2023,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,r,,,5049.0
2024,Anzahl,Opfer sexueller Belästigung,60 Jahre und älter,Männlich,,,,5321.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,,,,443.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,,,,416.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,,,,432.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,,,,427.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,,,,377.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,,,,343.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,,,,336.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,r,,,338.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,r,,,346.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,r,,,398.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,r,,,380.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,r,,,404.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,r,,,460.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,r,,,579.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,,,,,681.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,,,,272.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,,,,263.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,,,,310.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,,,,273.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,,,,260.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,,,,221.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,,,,221.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,r,,,212.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,r,,,239.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,r,,,241.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,r,,,226.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,r,,,264.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,r,,,313.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,r,,,353.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Weiblich,,,,404.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,,,,171.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,,,,153.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,,,,122.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,,,,154.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,,,,117.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,,,,122.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,,,,115.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,r,,,126.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,r,,,107.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,r,,,157.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,r,,,154.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,r,,,140.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,r,,,147.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,r,,,226.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,,Männlich,,,,277.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,,,,1289.0
