Year,Units,Time series,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Number,Victims of non-sexual harassment,,,.,,,
2011,Number,Victims of non-sexual harassment,,,.,,,
2012,Number,Victims of non-sexual harassment,,,.,,,
2013,Number,Victims of non-sexual harassment,,,.,,,
2014,Number,Victims of non-sexual harassment,,,.,,,
2015,Number,Victims of non-sexual harassment,,,.,,,
2016,Number,Victims of non-sexual harassment,,,,,,70.9
2017,Number,Victims of non-sexual harassment,,,.,,,
2018,Number,Victims of non-sexual harassment,,,,,,71.7
2019,Number,Victims of non-sexual harassment,,,.,,,
2020,Number,Victims of non-sexual harassment,,,,,,73.6
2021,Number,Victims of non-sexual harassment,,,…,,,
2022,Number,Victims of non-sexual harassment,,,…,,,
2023,Number,Victims of non-sexual harassment,,,…,,,
2024,Number,Victims of non-sexual harassment,,,…,,,
2010,Number,Victims of non-sexual harassment,,Female,.,,,
2011,Number,Victims of non-sexual harassment,,Female,.,,,
2012,Number,Victims of non-sexual harassment,,Female,.,,,
2013,Number,Victims of non-sexual harassment,,Female,.,,,
2014,Number,Victims of non-sexual harassment,,Female,.,,,
2015,Number,Victims of non-sexual harassment,,Female,.,,,
2016,Number,Victims of non-sexual harassment,,Female,,,,88.4
2017,Number,Victims of non-sexual harassment,,Female,.,,,
2018,Number,Victims of non-sexual harassment,,Female,,,,88.8
2019,Number,Victims of non-sexual harassment,,Female,.,,,
2020,Number,Victims of non-sexual harassment,,Female,,,,89.4
2021,Number,Victims of non-sexual harassment,,Female,…,,,
2022,Number,Victims of non-sexual harassment,,Female,…,,,
2023,Number,Victims of non-sexual harassment,,Female,…,,,
2024,Number,Victims of non-sexual harassment,,Female,…,,,
2010,Number,Victims of non-sexual harassment,,Male,.,,,
2011,Number,Victims of non-sexual harassment,,Male,.,,,
2012,Number,Victims of non-sexual harassment,,Male,.,,,
2013,Number,Victims of non-sexual harassment,,Male,.,,,
2014,Number,Victims of non-sexual harassment,,Male,.,,,
2015,Number,Victims of non-sexual harassment,,Male,.,,,
2016,Number,Victims of non-sexual harassment,,Male,,,,79.7
2017,Number,Victims of non-sexual harassment,,Male,.,,,
2018,Number,Victims of non-sexual harassment,,Male,,,,80.7
2019,Number,Victims of non-sexual harassment,,Male,.,,,
2020,Number,Victims of non-sexual harassment,,Male,,,,81.7
2021,Number,Victims of non-sexual harassment,,Male,…,,,
2022,Number,Victims of non-sexual harassment,,Male,…,,,
2023,Number,Victims of non-sexual harassment,,Male,…,,,
2024,Number,Victims of non-sexual harassment,,Male,…,,,
2010,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2011,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2012,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2013,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2014,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2015,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2016,Number,Victims of non-sexual harassment,13 years and younger,,,,,74.9
2017,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2018,Number,Victims of non-sexual harassment,13 years and younger,,,,,75.9
2019,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2020,Number,Victims of non-sexual harassment,13 years and younger,,,,,72.4
2021,Number,Victims of non-sexual harassment,13 years and younger,,…,,,
2022,Number,Victims of non-sexual harassment,13 years and younger,,…,,,
2023,Number,Victims of non-sexual harassment,13 years and younger,,…,,,
2024,Number,Victims of non-sexual harassment,13 years and younger,,…,,,
2010,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2011,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2012,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2013,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2014,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2015,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2016,Number,Victims of non-sexual harassment,13 years and younger,Female,,,,71.8
2017,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2018,Number,Victims of non-sexual harassment,13 years and younger,Female,,,,74.2
2019,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2020,Number,Victims of non-sexual harassment,13 years and younger,Female,,,,75.4
2021,Number,Victims of non-sexual harassment,13 years and younger,Female,…,,,
2022,Number,Victims of non-sexual harassment,13 years and younger,Female,…,,,
2023,Number,Victims of non-sexual harassment,13 years and younger,Female,…,,,
2024,Number,Victims of non-sexual harassment,13 years and younger,Female,…,,,
2010,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2011,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2012,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2013,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2014,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2015,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2016,Number,Victims of non-sexual harassment,13 years and younger,Male,,,,71.6
2017,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2018,Number,Victims of non-sexual harassment,13 years and younger,Male,,,,71.7
2019,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2020,Number,Victims of non-sexual harassment,13 years and younger,Male,,,,72.7
2021,Number,Victims of non-sexual harassment,13 years and younger,Male,…,,,
2022,Number,Victims of non-sexual harassment,13 years and younger,Male,…,,,
2023,Number,Victims of non-sexual harassment,13 years and younger,Male,…,,,
2024,Number,Victims of non-sexual harassment,13 years and younger,Male,…,,,
2010,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.3
2011,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.0
2012,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.4
2013,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,92.8
2014,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.3
2015,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,93.6
2016,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,93.6
2017,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.2
2018,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.5
2019,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,93.7
2020,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.5
2021,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.4
2022,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.8
2023,Number,Victims of non-sexual harassment,14 to under 18 years,,…,,,
2024,Number,Victims of non-sexual harassment,14 to under 18 years,,…,,,
2010,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,93.3
2011,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,91.6
2012,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,92.7
2013,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,90.2
2014,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,95.2
2015,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,91.5
2016,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,91.3
2017,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,92.2
2018,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,90.3
2019,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,90.2
2020,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,89.7
2021,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,89.0
2022,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,95.1
2023,Number,Victims of non-sexual harassment,14 to under 18 years,Female,…,,,
2024,Number,Victims of non-sexual harassment,14 to under 18 years,Female,…,,,
2010,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,97.5
2011,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,98.4
2012,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,96.7
2013,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,89.5
2014,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,96.3
2015,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,98.1
2016,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,95.8
2017,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,95.6
2018,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,96.4
2019,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,97.0
2020,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,98.8
2021,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,97.6
2022,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,99.4
2023,Number,Victims of non-sexual harassment,14 to under 18 years,Male,…,,,
2024,Number,Victims of non-sexual harassment,14 to under 18 years,Male,…,,,
2010,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,97.7
2011,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,96.1
2012,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,94.6
2013,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,94.8
2014,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,97.1
2015,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,96.7
2016,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,96.7
2017,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,95.4
2018,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,96.3
2019,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,95.5
2020,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,95.1
2021,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,97.6
2022,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,93.5
2023,Number,Victims of non-sexual harassment,18 to under 21 years,,…,,,
2024,Number,Victims of non-sexual harassment,18 to under 21 years,,…,,,
2010,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,95.2
2011,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,96.2
2012,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,97.8
2013,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,96.2
2014,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,94.1
2015,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,92.9
2016,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,96.1
2017,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,96.1
2018,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,95.3
2019,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,96.2
2020,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,97.1
2021,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,96.8
2022,Number,Victims of non-sexual harassment,18 to under 21 years,Female,,,,97.5
2023,Number,Victims of non-sexual harassment,18 to under 21 years,Female,…,,,
2024,Number,Victims of non-sexual harassment,18 to under 21 years,Female,…,,,
2010,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,93.2
2011,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,93.8
2012,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,93.8
2013,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,92.9
2014,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,94.2
2015,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,92.7
2016,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,92.6
2017,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,94.0
2018,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,95.0
2019,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,93.4
2020,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,96.0
2021,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,94.0
2022,Number,Victims of non-sexual harassment,18 to under 21 years,Male,,,,93.4
2023,Number,Victims of non-sexual harassment,18 to under 21 years,Male,…,,,
2024,Number,Victims of non-sexual harassment,18 to under 21 years,Male,…,,,
2010,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,92.1
2011,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,89.6
2012,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,91.7
2013,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,90.0
2014,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,92.4
2015,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,92.2
2016,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,90.5
2017,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,91.6
2018,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,91.6
2019,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,90.4
2020,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,90.3
2021,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,90.7
2022,Number,Victims of non-sexual harassment,21 to under 60 years,,,,,93.8
2023,Number,Victims of non-sexual harassment,21 to under 60 years,,…,,,
2024,Number,Victims of non-sexual harassment,21 to under 60 years,,…,,,
2010,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,93.2
2011,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,94.2
2012,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,94.5
2013,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,92.5
2014,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,94.6
2015,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,93.8
2016,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,93.6
2017,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,94.4
2018,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,94.5
2019,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,94.0
2020,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,95.0
2021,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,95.0
2022,Number,Victims of non-sexual harassment,21 to under 60 years,Female,,,,94.7
2023,Number,Victims of non-sexual harassment,21 to under 60 years,Female,…,,,
2024,Number,Victims of non-sexual harassment,21 to under 60 years,Female,…,,,
2010,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,95.6
2011,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,93.7
2012,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,94.4
2013,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,93.2
2014,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,94.0
2015,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,93.4
2016,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,93.6
2017,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,94.0
2018,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,94.5
2019,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,93.5
2020,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,94.7
2021,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,93.9
2022,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,95.0
2023,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,
2024,Number,Victims of non-sexual harassment,21 to under 60 years,Male,,,,
2010,Number,Victims of non-sexual harassment,60 years and older,,x,,,
2011,Number,Victims of non-sexual harassment,60 years and older,,,,,6.845
2012,Number,Victims of non-sexual harassment,60 years and older,,,,,2.01
2013,Number,Victims of non-sexual harassment,60 years and older,,,,,1.565
2014,Number,Victims of non-sexual harassment,60 years and older,,,,,1.153
2015,Number,Victims of non-sexual harassment,60 years and older,,,,,0.293
2016,Number,Victims of non-sexual harassment,60 years and older,,|,,,0.91
2017,Number,Victims of non-sexual harassment,60 years and older,,,,,1.553
2018,Number,Victims of non-sexual harassment,60 years and older,,,,,2.317
2019,Number,Victims of non-sexual harassment,60 years and older,,,,,1.859
2020,Number,Victims of non-sexual harassment,60 years and older,,x,,,
2021,Number,Victims of non-sexual harassment,60 years and older,,,,,4.248
2022,Number,Victims of non-sexual harassment,60 years and older,,x,r,,
2023,Number,Victims of non-sexual harassment,60 years and older,,r,,,1.099
2024,Number,Victims of non-sexual harassment,60 years and older,,…,,,
2010,Number,Victims of non-sexual harassment,60 years and older,Female,,,,99.587
2011,Number,Victims of non-sexual harassment,60 years and older,Female,,,,100.353
2012,Number,Victims of non-sexual harassment,60 years and older,Female,,,,100.599
2013,Number,Victims of non-sexual harassment,60 years and older,Female,,,,100.77
2014,Number,Victims of non-sexual harassment,60 years and older,Female,,,,100.85
2015,Number,Victims of non-sexual harassment,60 years and older,Female,,,,100.0
2016,Number,Victims of non-sexual harassment,60 years and older,Female,|,,,99.962
2017,Number,Victims of non-sexual harassment,60 years and older,Female,,,,100.142
2018,Number,Victims of non-sexual harassment,60 years and older,Female,,,,100.501
2019,Number,Victims of non-sexual harassment,60 years and older,Female,,,,100.654
2020,Number,Victims of non-sexual harassment,60 years and older,Female,,,,101.097
2021,Number,Victims of non-sexual harassment,60 years and older,Female,,,,101.42
2022,Number,Victims of non-sexual harassment,60 years and older,Female,r,,,101.881
2023,Number,Victims of non-sexual harassment,60 years and older,Female,r,,,101.921
2024,Number,Victims of non-sexual harassment,60 years and older,Female,…,,,
2010,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.591
2011,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.902
2012,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.489
2013,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.473
2014,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.612
2015,Number,Victims of non-sexual harassment,60 years and older,Male,r,,,0.351
2016,Number,Victims of non-sexual harassment,60 years and older,Male,|,,,0.382
2017,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.509
2018,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.634
2019,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.33
2020,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.426
2021,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.419
2022,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.312
2023,Number,Victims of non-sexual harassment,60 years and older,Male,,,,0.445
2024,Number,Victims of non-sexual harassment,60 years and older,Male,…,,,
2010,Number,Victims of sexual harassment,,,,,,-0.154
2011,Number,Victims of sexual harassment,,,,,,0.132
2012,Number,Victims of sexual harassment,,,,,,0.244
2013,Number,Victims of sexual harassment,,,,,,0.302
2014,Number,Victims of sexual harassment,,,,,,0.531
2015,Number,Victims of sexual harassment,,,,,,1.197
2016,Number,Victims of sexual harassment,,,|,,,0.42
2017,Number,Victims of sexual harassment,,,,,,0.327
2018,Number,Victims of sexual harassment,,,,,,0.274
2019,Number,Victims of sexual harassment,,,,,,0.178
2020,Number,Victims of sexual harassment,,,,,,-0.014
2021,Number,Victims of sexual harassment,,,,,,0.099
2022,Number,Victims of sexual harassment,,,r,,,-0.143
2023,Number,Victims of sexual harassment,,,r,,,0.405
2024,Number,Victims of sexual harassment,,,,,,0.145
2010,Number,Victims of sexual harassment,,Female,,,,
2011,Number,Victims of sexual harassment,,Female,,,,
2012,Number,Victims of sexual harassment,,Female,,,,
2013,Number,Victims of sexual harassment,,Female,,,,4.691
2014,Number,Victims of sexual harassment,,Female,,,,2.046
2015,Number,Victims of sexual harassment,,Female,,,,0.844
2016,Number,Victims of sexual harassment,,Female,|,,,0.74
2017,Number,Victims of sexual harassment,,Female,,,,0.747
2018,Number,Victims of sexual harassment,,Female,,,,0.843
2019,Number,Victims of sexual harassment,,Female,,,,1.545
2020,Number,Victims of sexual harassment,,Female,,,,2.48
2021,Number,Victims of sexual harassment,,Female,,,,3.373
2022,Number,Victims of sexual harassment,,Female,r,,,12.432
2023,Number,Victims of sexual harassment,,Female,r,,,4.61
2024,Number,Victims of sexual harassment,,Female,…,,,
2010,Number,Victims of sexual harassment,,Male,,,,
2011,Number,Victims of sexual harassment,,Male,,,,98.632
2012,Number,Victims of sexual harassment,,Male,,,,99.299
2013,Number,Victims of sexual harassment,,Male,,,,99.777
2014,Number,Victims of sexual harassment,,Male,,,,100.091
2015,Number,Victims of sexual harassment,,Male,,,,100.0
2016,Number,Victims of sexual harassment,,Male,|,,,99.84
2017,Number,Victims of sexual harassment,,Male,,,,99.685
2018,Number,Victims of sexual harassment,,Male,,,,99.601
2019,Number,Victims of sexual harassment,,Male,,,,99.764
2020,Number,Victims of sexual harassment,,Male,,,,100.046
2021,Number,Victims of sexual harassment,,Male,,,,100.363
2022,Number,Victims of sexual harassment,,Male,r,,,100.706
2023,Number,Victims of sexual harassment,,Male,r,,,101.021
2024,Number,Victims of sexual harassment,,Male,…,,,
2010,Number,Victims of sexual harassment,13 years and younger,,,,,
2011,Number,Victims of sexual harassment,13 years and younger,,,,,
2012,Number,Victims of sexual harassment,13 years and younger,,,,,0.647
2013,Number,Victims of sexual harassment,13 years and younger,,,,,0.614
2014,Number,Victims of sexual harassment,13 years and younger,,,,,0.619
2015,Number,Victims of sexual harassment,13 years and younger,,,,,0.482
2016,Number,Victims of sexual harassment,13 years and younger,,|,,,0.455
2017,Number,Victims of sexual harassment,13 years and younger,,,,,0.464
2018,Number,Victims of sexual harassment,13 years and younger,,,,,0.469
2019,Number,Victims of sexual harassment,13 years and younger,,,,,0.464
2020,Number,Victims of sexual harassment,13 years and younger,,,,,0.474
2021,Number,Victims of sexual harassment,13 years and younger,,,,,0.452
2022,Number,Victims of sexual harassment,13 years and younger,,,,,0.372
2023,Number,Victims of sexual harassment,13 years and younger,,,,,0.4
2024,Number,Victims of sexual harassment,13 years and younger,,…,,,
2010,Number,Victims of sexual harassment,13 years and younger,Female,.,,,
2011,Number,Victims of sexual harassment,13 years and younger,Female,.,,,
2012,Number,Victims of sexual harassment,13 years and younger,Female,,,,-0.03
2013,Number,Victims of sexual harassment,13 years and younger,Female,,,,0.131
2014,Number,Victims of sexual harassment,13 years and younger,Female,,,,0.303
2015,Number,Victims of sexual harassment,13 years and younger,Female,,,,0.57
2016,Number,Victims of sexual harassment,13 years and younger,Female,|,,,0.615
2017,Number,Victims of sexual harassment,13 years and younger,Female,,,,0.621
2018,Number,Victims of sexual harassment,13 years and younger,Female,,,,0.556
2019,Number,Victims of sexual harassment,13 years and younger,Female,,,,0.3
2020,Number,Victims of sexual harassment,13 years and younger,Female,,,,0.191
2021,Number,Victims of sexual harassment,13 years and younger,Female,,,,0.134
2022,Number,Victims of sexual harassment,13 years and younger,Female,r,,,0.03
2023,Number,Victims of sexual harassment,13 years and younger,Female,r,,,0.087
2024,Number,Victims of sexual harassment,13 years and younger,Female,,,,0.127
2010,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2011,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2012,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2013,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2014,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2015,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2016,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2017,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2018,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2019,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2020,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2021,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2022,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
2023,Number,Victims of sexual harassment,13 years and younger,Male,,,,100.0
