Year,Units,Messgröße,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2011,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,69.7
2012,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,115.1
2013,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,105.3
2014,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,88.2
2015,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,88.3
2016,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,83.8
2017,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,94.8
2018,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,141.6
2019,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,142.5
2020,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,254.1
2021,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,305.5
2022,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,283.9
2023,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,280.0
2024,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,,,,Zusagen und Bruttoauszahlungen öffentlicher Entwicklungsleistungen für Biodiversität,227.6
