Year,Units,Art der Belästigung,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,978.0
2011,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,880.0
2012,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,905.0
2013,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,902.0
2014,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,884.0
2015,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,823.0
2016,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,788.0
2017,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,791.0
2018,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,792.0
2019,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,834.0
2020,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,845.0
2021,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,906.0
2022,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,1023.0
2023,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,1144.0
2024,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,1131.0
2010,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,674.0
2011,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,615.0
2012,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,590.0
2013,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,538.0
2014,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,511.0
2015,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,446.0
2016,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,463.0
2017,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,392.0
2018,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,459.0
2019,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,432.0
2020,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,443.0
2021,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,517.0
2022,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,531.0
2023,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,613.0
2024,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,640.0
2010,Anzahl,Sexuelle Belästigung,,,,,,7523.0
2011,Anzahl,Sexuelle Belästigung,,,,,,8011.0
2012,Anzahl,Sexuelle Belästigung,,,,,,8306.0
2013,Anzahl,Sexuelle Belästigung,,,,,,8161.0
2014,Anzahl,Sexuelle Belästigung,,,,,,8356.0
2015,Anzahl,Sexuelle Belästigung,,,,,,8262.0
2016,Anzahl,Sexuelle Belästigung,,,,,,8599.0
2017,Anzahl,Sexuelle Belästigung,,,r,,,8350.0
2018,Anzahl,Sexuelle Belästigung,,,r,,,8817.0
2019,Anzahl,Sexuelle Belästigung,,,r,,,8031.0
2020,Anzahl,Sexuelle Belästigung,,,r,,,9319.0
2021,Anzahl,Sexuelle Belästigung,,,|,r,,9035.0
2022,Anzahl,Sexuelle Belästigung,,,r,,,9640.0
2023,Anzahl,Sexuelle Belästigung,,,r,,,10166.0
2024,Anzahl,Sexuelle Belästigung,,,,,,10773.0
2010,Anzahl,Sexuelle Belästigung,,Weiblich,,,,6624.0
2011,Anzahl,Sexuelle Belästigung,,Weiblich,,,,7050.0
2012,Anzahl,Sexuelle Belästigung,,Weiblich,,,,7400.0
2013,Anzahl,Sexuelle Belästigung,,Weiblich,,,,7269.0
2014,Anzahl,Sexuelle Belästigung,,Weiblich,,,,7381.0
2015,Anzahl,Sexuelle Belästigung,,Weiblich,,,,7296.0
2016,Anzahl,Sexuelle Belästigung,,Weiblich,,,,7525.0
2017,Anzahl,Sexuelle Belästigung,,Weiblich,r,,,7273.0
2018,Anzahl,Sexuelle Belästigung,,Weiblich,r,,,7628.0
2019,Anzahl,Sexuelle Belästigung,,Weiblich,r,,,6840.0
2020,Anzahl,Sexuelle Belästigung,,Weiblich,r,,,7967.0
2021,Anzahl,Sexuelle Belästigung,,Weiblich,|,r,,7673.0
2022,Anzahl,Sexuelle Belästigung,,Weiblich,r,,,8152.0
2023,Anzahl,Sexuelle Belästigung,,Weiblich,r,,,8451.0
2024,Anzahl,Sexuelle Belästigung,,Weiblich,,,,8839.0
2010,Anzahl,Sexuelle Belästigung,,Männlich,,,,899.0
2011,Anzahl,Sexuelle Belästigung,,Männlich,,,,961.0
2012,Anzahl,Sexuelle Belästigung,,Männlich,,,,906.0
2013,Anzahl,Sexuelle Belästigung,,Männlich,,,,892.0
2014,Anzahl,Sexuelle Belästigung,,Männlich,,,,975.0
2015,Anzahl,Sexuelle Belästigung,,Männlich,,,,966.0
2016,Anzahl,Sexuelle Belästigung,,Männlich,,,,1074.0
2017,Anzahl,Sexuelle Belästigung,,Männlich,r,,,1077.0
2018,Anzahl,Sexuelle Belästigung,,Männlich,r,,,1189.0
2019,Anzahl,Sexuelle Belästigung,,Männlich,r,,,1191.0
2020,Anzahl,Sexuelle Belästigung,,Männlich,r,,,1352.0
2021,Anzahl,Sexuelle Belästigung,,Männlich,|,r,,1362.0
2022,Anzahl,Sexuelle Belästigung,,Männlich,r,,,1488.0
2023,Anzahl,Sexuelle Belästigung,,Männlich,r,,,1715.0
2024,Anzahl,Sexuelle Belästigung,,Männlich,,,,1934.0
2010,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,,,,0.0
2011,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,,,,0.0
2012,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,,,,0.0
2013,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,,,,0.0
2014,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,,,,0.0
2015,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,,,,0.0
2016,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,,,,0.0
2017,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,r,,,0.0
2018,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,r,,,0.0
2019,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,r,,,0.0
2020,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,r,,,0.0
2021,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,|,r,,47.0
2022,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,r,,,144.0
2023,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,r,,,130.0
2024,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,,,,,140.0
2010,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0
2011,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0
2012,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0
2013,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0
2014,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0
2015,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0
2016,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0
2017,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,0.0
2018,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,0.0
2019,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,0.0
2020,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,0.0
2021,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,|,r,,32.0
2022,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,118.0
2023,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,107.0
2024,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,91.0
2010,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,0.0
2011,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,0.0
2012,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,0.0
2013,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,0.0
2014,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,0.0
2015,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,0.0
2016,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,0.0
2017,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,0.0
2018,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,0.0
2019,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,0.0
2020,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,0.0
2021,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,|,r,,15.0
2022,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,26.0
2023,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,23.0
2024,Anzahl,Sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,49.0
2010,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1267.0
2011,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1362.0
2012,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1356.0
2013,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1384.0
2014,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1368.0
2015,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1245.0
2016,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1149.0
2017,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,1104.0
2018,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,1110.0
2019,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,931.0
2020,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,1067.0
2021,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,|,r,,1070.0
2022,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,1243.0
2023,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,1208.0
2024,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1367.0
2010,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1112.0
2011,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1217.0
2012,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1221.0
2013,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1235.0
2014,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1228.0
2015,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1151.0
2016,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1024.0
2017,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,955.0
2018,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,958.0
2019,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,811.0
2020,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,928.0
2021,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,|,r,,936.0
2022,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,1076.0
2023,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,1022.0
2024,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1152.0
2010,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,155.0
2011,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,145.0
2012,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,135.0
2013,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,149.0
2014,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,140.0
2015,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,94.0
2016,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,125.0
2017,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,149.0
2018,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,152.0
2019,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,120.0
2020,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,139.0
2021,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,|,r,,134.0
2022,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,167.0
2023,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,186.0
2024,Anzahl,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,215.0
2010,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,796.0
2011,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,811.0
2012,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,808.0
2013,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,752.0
2014,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,809.0
2015,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,803.0
2016,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,776.0
2017,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,931.0
2018,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,878.0
2019,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,725.0
2020,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,969.0
2021,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,|,r,,883.0
2022,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,925.0
2023,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,934.0
2024,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,1040.0
2010,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,728.0
2011,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,747.0
2012,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,752.0
2013,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,694.0
2014,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,754.0
2015,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,740.0
2016,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,702.0
2017,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,858.0
2018,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,783.0
2019,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,640.0
2020,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,876.0
2021,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,|,r,,789.0
2022,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,826.0
2023,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,825.0
2024,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,901.0
2010,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,68.0
2011,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,64.0
2012,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,56.0
2013,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,58.0
2014,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,55.0
2015,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,63.0
2016,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,74.0
2017,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,73.0
2018,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,95.0
2019,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,85.0
2020,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,93.0
2021,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,|,r,,94.0
2022,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,99.0
2023,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,109.0
2024,Anzahl,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,139.0
2010,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,4797.0
2011,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,5125.0
2012,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,5438.0
2013,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,5293.0
2014,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,5463.0
2015,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,5446.0
2016,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,5894.0
2017,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,5565.0
2018,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,6020.0
2019,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,5637.0
2020,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,6486.0
2021,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,|,r,,6245.0
2022,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,6542.0
2023,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,6985.0
2024,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,7309.0
2010,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,4192.0
2011,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,4468.0
2012,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,4801.0
2013,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,4672.0
2014,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,4761.0
2015,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,4734.0
2016,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,5097.0
2017,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,4802.0
2018,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,5198.0
2019,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,4727.0
2020,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,5487.0
2021,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,|,r,,5227.0
2022,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,5461.0
2023,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,5753.0
2024,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,5948.0
2010,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,605.0
2011,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,657.0
2012,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,637.0
2013,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,621.0
2014,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,702.0
2015,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,712.0
2016,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,797.0
2017,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,763.0
2018,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,822.0
2019,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,910.0
2020,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,999.0
2021,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,|,r,,1018.0
2022,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,1081.0
2023,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,1232.0
2024,Anzahl,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,1361.0
2010,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,,,,663.0
2011,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,,,,713.0
2012,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,,,,704.0
2013,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,,,,732.0
2014,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,,,,716.0
2015,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,,,,768.0
2016,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,,,,780.0
2017,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,r,,,750.0
2018,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,r,,,809.0
2019,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,r,,,738.0
2020,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,r,,,797.0
2021,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,|,r,,790.0
2022,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,r,,,786.0
2023,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,r,,,909.0
2024,Anzahl,Sexuelle Belästigung,60 Jahre und älter,,,,,917.0
2010,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,592.0
2011,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,618.0
2012,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,626.0
2013,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,668.0
2014,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,638.0
2015,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,671.0
2016,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,702.0
2017,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,658.0
2018,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,689.0
2019,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,662.0
2020,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,676.0
2021,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,|,r,,689.0
2022,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,671.0
2023,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,r,,,744.0
2024,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,747.0
2010,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,71.0
2011,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,95.0
2012,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,78.0
2013,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,64.0
2014,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,78.0
2015,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,97.0
2016,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,78.0
2017,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,92.0
2018,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,120.0
2019,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,76.0
2020,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,121.0
2021,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,|,r,,101.0
2022,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,115.0
2023,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,r,,,165.0
2024,Anzahl,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,170.0
