Year,Units,Art der Belästigung,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,|,,,16.3
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,52.0
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,48.7
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,48.1
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,47.8
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,43.4
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,37.6
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,37.3
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,36.8
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,37.7
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,37.8
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,39.8
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,42.2
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,44.5
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,47.8
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,|,,,51.5
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,83.9
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,79.1
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,78.9
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,77.6
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,70.4
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,61.5
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,61.7
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,60.9
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,62.6
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,63.2
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,66.0
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,69.4
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,73.8
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,78.6
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,|,,,85.4
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,20.9
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,19.2
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,18.2
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,18.6
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,16.9
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,14.3
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,13.7
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,13.5
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,13.6
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,13.3
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,14.4
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,15.8
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,16.1
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,17.8
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,|,,,18.7
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,7.8
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,7.0
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,6.9
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,6.6
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,6.4
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.7
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.6
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.2
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.4
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.4
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.4
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.9
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,6.4
