Year,timeseries,tourism industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,employed persons,travel agencies and other reservation service activities,…,,,
2011,employed persons,travel agencies and other reservation service activities,…,,,
2012,employed persons,travel agencies and other reservation service activities,…,,,
2013,employed persons,travel agencies and other reservation service activities,…,,,
2014,employed persons,travel agencies and other reservation service activities,…,,,
2015,employed persons,travel agencies and other reservation service activities,…,,,
2016,employed persons,travel agencies and other reservation service activities,…,,,
2017,employed persons,travel agencies and other reservation service activities,…,,,
2018,employed persons,travel agencies and other reservation service activities,…,,,
2019,employed persons,travel agencies and other reservation service activities,…,,,
2020,employed persons,travel agencies and other reservation service activities,,,,81779
2021,employed persons,travel agencies and other reservation service activities,,,,79189
2022,employed persons,travel agencies and other reservation service activities,,,,88512
2023,employed persons,travel agencies and other reservation service activities,,,,84618
2010,employed persons,cultural activities,…,,,
2011,employed persons,cultural activities,…,,,
2012,employed persons,cultural activities,…,,,
2013,employed persons,cultural activities,…,,,
2014,employed persons,cultural activities,…,,,
2015,employed persons,cultural activities,…,,,
2016,employed persons,cultural activities,…,,,
2017,employed persons,cultural activities,…,,,
2018,employed persons,cultural activities,…,,,
2019,employed persons,cultural activities,…,,,
2020,employed persons,cultural activities,…,,,
2021,employed persons,cultural activities,,,,93922
2022,employed persons,cultural activities,,,,104048
2023,employed persons,cultural activities,,,,109369
2010,employed persons,sports and recreational activities,…,,,
2011,employed persons,sports and recreational activities,…,,,
2012,employed persons,sports and recreational activities,…,,,
2013,employed persons,sports and recreational activities,…,,,
2014,employed persons,sports and recreational activities,…,,,
2015,employed persons,sports and recreational activities,…,,,
2016,employed persons,sports and recreational activities,…,,,
2017,employed persons,sports and recreational activities,…,,,
2018,employed persons,sports and recreational activities,…,,,
2019,employed persons,sports and recreational activities,…,,,
2020,employed persons,sports and recreational activities,…,,,
2021,employed persons,sports and recreational activities,,,,306401
2022,employed persons,sports and recreational activities,,,,320884
2023,employed persons,sports and recreational activities,,,,312225
2010,employees,accommodation for visitors: hotels and similar establishments,…,,,
2011,employees,accommodation for visitors: hotels and similar establishments,…,,,
2012,employees,accommodation for visitors: hotels and similar establishments,…,,,
2013,employees,accommodation for visitors: hotels and similar establishments,…,,,
2014,employees,accommodation for visitors: hotels and similar establishments,…,,,
2015,employees,accommodation for visitors: hotels and similar establishments,…,,,
2016,employees,accommodation for visitors: hotels and similar establishments,…,,,
2017,employees,accommodation for visitors: hotels and similar establishments,…,,,
2018,employees,accommodation for visitors: hotels and similar establishments,…,,,
2019,employees,accommodation for visitors: hotels and similar establishments,…,,,
2020,employees,accommodation for visitors: hotels and similar establishments,,,,387316
2021,employees,accommodation for visitors: hotels and similar establishments,,,,412861
2022,employees,accommodation for visitors: hotels and similar establishments,,,,447744
2023,employees,accommodation for visitors: hotels and similar establishments,,,,451432
2010,employees,accommodation for visitors: other,…,,,
2011,employees,accommodation for visitors: other,…,,,
2012,employees,accommodation for visitors: other,…,,,
2013,employees,accommodation for visitors: other,…,,,
2014,employees,accommodation for visitors: other,…,,,
2015,employees,accommodation for visitors: other,…,,,
2016,employees,accommodation for visitors: other,…,,,
2017,employees,accommodation for visitors: other,…,,,
2018,employees,accommodation for visitors: other,…,,,
2019,employees,accommodation for visitors: other,…,,,
2020,employees,accommodation for visitors: other,,,,333052
2021,employees,accommodation for visitors: other,,,,474192
2022,employees,accommodation for visitors: other,,,,474307
2023,employees,accommodation for visitors: other,,,,471128
2010,employees,food and beverage serving activities,…,,,
2011,employees,food and beverage serving activities,…,,,
2012,employees,food and beverage serving activities,…,,,
2013,employees,food and beverage serving activities,…,,,
2014,employees,food and beverage serving activities,…,,,
2015,employees,food and beverage serving activities,…,,,
2016,employees,food and beverage serving activities,…,,,
2017,employees,food and beverage serving activities,…,,,
2018,employees,food and beverage serving activities,…,,,
2019,employees,food and beverage serving activities,…,,,
2020,employees,food and beverage serving activities,,,,1147866
2021,employees,food and beverage serving activities,,,,1281136
2022,employees,food and beverage serving activities,,,,1338977
2023,employees,food and beverage serving activities,,,,1363796
2010,employees,railway passenger transport,…,,,
2011,employees,railway passenger transport,…,,,
