Year,type of proceeding,länder,GeoCode,industry,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,criminal proceedings,lower saxony,code03,restaurant and lodging industry,,,,781
2025,criminal proceedings,lower saxony,code03,restaurant and lodging industry,,,,746
2024,criminal proceedings,lower saxony,code03,hairdressing and beauty industry,,,,56
2025,criminal proceedings,lower saxony,code03,hairdressing and beauty industry,,,,58
2024,criminal proceedings,lower saxony,code03,"freight forwarding, transportation, and logistics industry",,,,323
2025,criminal proceedings,lower saxony,code03,"freight forwarding, transportation, and logistics industry",,,,353
2024,criminal proceedings,north rhine-westphalia,code05,,,,,21974
2025,criminal proceedings,north rhine-westphalia,code05,,,,,24301
2024,criminal proceedings,north rhine-westphalia,code05,construction industry,,,,2109
2025,criminal proceedings,north rhine-westphalia,code05,construction industry,,,,2121
2024,criminal proceedings,north rhine-westphalia,code05,restaurant and lodging industry,,,,1887
2025,criminal proceedings,north rhine-westphalia,code05,restaurant and lodging industry,,,,1962
2024,criminal proceedings,north rhine-westphalia,code05,hairdressing and beauty industry,,,,382
2025,criminal proceedings,north rhine-westphalia,code05,hairdressing and beauty industry,,,,456
2024,criminal proceedings,north rhine-westphalia,code05,"freight forwarding, transportation, and logistics industry",,,,1391
2025,criminal proceedings,north rhine-westphalia,code05,"freight forwarding, transportation, and logistics industry",,,,1847
2024,criminal proceedings,rhineland palatinate,code07,,,,,3690
2025,criminal proceedings,rhineland palatinate,code07,,,,,3529
2024,criminal proceedings,rhineland palatinate,code07,construction industry,,,,703
2025,criminal proceedings,rhineland palatinate,code07,construction industry,,,,588
2024,criminal proceedings,rhineland palatinate,code07,restaurant and lodging industry,,,,339
2025,criminal proceedings,rhineland palatinate,code07,restaurant and lodging industry,,,,347
2024,criminal proceedings,rhineland palatinate,code07,hairdressing and beauty industry,,,,65
2025,criminal proceedings,rhineland palatinate,code07,hairdressing and beauty industry,,,,82
2024,criminal proceedings,rhineland palatinate,code07,"freight forwarding, transportation, and logistics industry",,,,121
2025,criminal proceedings,rhineland palatinate,code07,"freight forwarding, transportation, and logistics industry",,,,125
2024,criminal proceedings,saarland,code10,,,,,2257
2025,criminal proceedings,saarland,code10,,,,,2032
2024,criminal proceedings,saarland,code10,construction industry,,,,147
2025,criminal proceedings,saarland,code10,construction industry,,,,166
2024,criminal proceedings,saarland,code10,restaurant and lodging industry,,,,317
2025,criminal proceedings,saarland,code10,restaurant and lodging industry,,,,249
2024,criminal proceedings,saarland,code10,hairdressing and beauty industry,,,,14
2025,criminal proceedings,saarland,code10,hairdressing and beauty industry,,,,27
2024,criminal proceedings,saarland,code10,"freight forwarding, transportation, and logistics industry",,,,124
2025,criminal proceedings,saarland,code10,"freight forwarding, transportation, and logistics industry",,,,132
2024,criminal proceedings,saxony,code14,,,,,4108
2025,criminal proceedings,saxony,code14,,,,,3795
2024,criminal proceedings,saxony,code14,construction industry,,,,499
2025,criminal proceedings,saxony,code14,construction industry,,,,409
2024,criminal proceedings,saxony,code14,restaurant and lodging industry,,,,480
2025,criminal proceedings,saxony,code14,restaurant and lodging industry,,,,434
2024,criminal proceedings,saxony,code14,hairdressing and beauty industry,,,,34
2025,criminal proceedings,saxony,code14,hairdressing and beauty industry,,,,57
2024,criminal proceedings,saxony,code14,"freight forwarding, transportation, and logistics industry",,,,109
2025,criminal proceedings,saxony,code14,"freight forwarding, transportation, and logistics industry",,,,96
2024,criminal proceedings,saxony-anhalt,code15,,,,,2092
2025,criminal proceedings,saxony-anhalt,code15,,,,,2343
2024,criminal proceedings,saxony-anhalt,code15,construction industry,,,,157
2025,criminal proceedings,saxony-anhalt,code15,construction industry,,,,88
2024,criminal proceedings,saxony-anhalt,code15,restaurant and lodging industry,,,,89
2025,criminal proceedings,saxony-anhalt,code15,restaurant and lodging industry,,,,73
2024,criminal proceedings,saxony-anhalt,code15,hairdressing and beauty industry,,,,9
2025,criminal proceedings,saxony-anhalt,code15,hairdressing and beauty industry,,,,29
2024,criminal proceedings,saxony-anhalt,code15,"freight forwarding, transportation, and logistics industry",,,,34
2025,criminal proceedings,saxony-anhalt,code15,"freight forwarding, transportation, and logistics industry",,,,18
2024,criminal proceedings,schleswig-holstein,code01,,,,,3020
2025,criminal proceedings,schleswig-holstein,code01,,,,,2683
2024,criminal proceedings,schleswig-holstein,code01,construction industry,,,,319
2025,criminal proceedings,schleswig-holstein,code01,construction industry,,,,219
2024,criminal proceedings,schleswig-holstein,code01,restaurant and lodging industry,,,,454
2025,criminal proceedings,schleswig-holstein,code01,restaurant and lodging industry,,,,438
2024,criminal proceedings,schleswig-holstein,code01,hairdressing and beauty industry,,,,40
2025,criminal proceedings,schleswig-holstein,code01,hairdressing and beauty industry,,,,36
2024,criminal proceedings,schleswig-holstein,code01,"freight forwarding, transportation, and logistics industry",,,,148
2025,criminal proceedings,schleswig-holstein,code01,"freight forwarding, transportation, and logistics industry",,,,124
2024,criminal proceedings,thuringia,code16,,,,,2754
2025,criminal proceedings,thuringia,code16,,,,,3213
2024,criminal proceedings,thuringia,code16,construction industry,,,,253
2025,criminal proceedings,thuringia,code16,construction industry,,,,290
2024,criminal proceedings,thuringia,code16,restaurant and lodging industry,,,,267
2025,criminal proceedings,thuringia,code16,restaurant and lodging industry,,,,331
2024,criminal proceedings,thuringia,code16,hairdressing and beauty industry,,,,34
2025,criminal proceedings,thuringia,code16,hairdressing and beauty industry,,,,34
2024,criminal proceedings,thuringia,code16,"freight forwarding, transportation, and logistics industry",,,,100
2025,criminal proceedings,thuringia,code16,"freight forwarding, transportation, and logistics industry",,,,109
